,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,Demanda Bioquímica de Oxígeno (DBO) [mg/L],Demanda Química de Oxígeno (DQO) [mg/L],Sólidos Suspendidos Totales (SST) [mg/L],Coliformes Fecales (CF) [NMP/100mL],E. Coli (EC) [NMP/100mL],Enterococos (ENT) [NMP/100mL],Toxicidad aguda (TA) [UTa],Oxígeno Disuelto (OD) [mg/L],SEMAFORO,CONTAMINANTES
0,CARMINA 2,CARMINA 2,RIO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA ,RÍO BRAVO 5,DATO PENDIENTE,LÓTICO,ARROYO,-101.06928,29.44931,2012-2023,<3,<10,<25,1076,41,,<1,97.9,Amarillo,"CF,"
1,DLAGU0001RNL21,PRESA NATILLAS DE ABAJO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,RÍO SAN PEDRO,PRESA NATILLAS DE ABAJO,LÉNTICO,PRESA,-102.3139,22.37292,2012-2023,23.2,48,50,,,,,,Rojo,"DQO,"
2,DLAGU0002RNL21,PRESA EL JOCOQUI,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.3609,22.12506,2012-2023,4.86,18,<25,,,,,,Verde,
3,DLAGU0003RNL21,BORDO SANTA ELENA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA SANTA ELENA,LÉNTICO,PRESA,-102.2503,21.909356,2012-2023,6.6,189,32,,,,,,Rojo,"DQO,"
4,DLAGU0004RNL21,HUMEDAL BUENAVISA DE PEÑUELAS  CHARCA NO. 5,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,HUMEDAL BUENAVISA,LÉNTICO,HUMEDAL,-102.300129,21.71844,2012-2023,9.3,60,<25,,,,,,Rojo,"DQO,"
5,DLAGU0005RNL21,PRESA PEÑA BLANCA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA PEÑA BLANCA,LÉNTICO,PRESA,-102.7519722,21.905277,2012-2023,<3,49,<25,,,,,,Rojo,"DQO,"
6,DLAGU10M1,"INDUSTRIAS DEL INTERIOR, S. DE R.L. DE C.V.",LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,DREN AGRICOLA Y SUELO,LÓTICO,DESCARGA,-102.29228,21.79912,2012-2023,3.21,78.5376,<25,<3,<3,,<1,33.1,Rojo,"DQO,TOX_L,"
7,DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.35794,22.12123,2012-2023,<3,35,<25,148,<3,,,,Verde,
8,DLAGU12,PRESA EL JOCOQUI COLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.37846,22.1358,2012-2023,<3,35.57,<25,272,<3,,,,Verde,
9,DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.41856,22.14165,2012-2023,<3,24.24,<25,245,30,,,,Verde,
